Year,Trends,Uso,Deseo
2021-04-01,0.0,,
2021-05-01,0.0,,
2021-06-01,0.0,0.6523178807947019,0.8206686930091185
2021-07-01,0.0,0.6669426048565121,0.835612968591692
2021-08-01,0.0,0.6815673289183222,0.8505572441742655
2021-09-01,0.0,0.6961920529801324,0.865501519756839
2021-10-01,0.0,0.7108167770419427,0.8804457953394125
2021-11-01,0.0,0.7254415011037527,0.8953900709219857
2021-12-01,0.0,0.740066225165563,0.9103343465045592
2022-01-01,0.0,0.7546909492273732,0.9252786220871327
2022-02-01,0.0,0.7693156732891833,0.9402228976697062
2022-03-01,0.0,0.7839403973509933,0.9551671732522797
2022-04-01,0.0,0.7985651214128036,0.9701114488348532
2022-05-01,0.6666666666666666,0.8131898454746136,0.9850557244174265
2022-06-01,0.6666666666666666,0.8278145695364238,1.0
2022-07-01,0.3333333333333333,0.8421633554083885,0.99822695035461
2022-08-01,0.6666666666666666,0.8565121412803534,0.9964539007092199
2022-09-01,0.6666666666666666,0.8708609271523178,0.9946808510638299
2022-10-01,0.6666666666666666,0.8852097130242824,0.9929078014184398
2022-11-01,1.0,0.8995584988962471,0.9911347517730495
2022-12-01,0.6666666666666666,0.9139072847682119,0.9893617021276595
2023-01-01,0.6666666666666666,0.9282560706401768,0.9875886524822697
2023-02-01,1.0,0.9426048565121412,0.9858156028368794
2023-03-01,0.6666666666666666,0.9569536423841059,0.9840425531914894
2023-04-01,1.0,0.9713024282560707,0.9822695035460993
2023-05-01,0.6666666666666666,0.9856512141280351,0.9804964539007093
2023-06-01,1.0,1.0,0.9787234042553192
2023-07-01,0.6666666666666666,0.9470198675496688,0.9336372847011145
2023-08-01,0.6666666666666666,0.8940397350993377,0.8885511651469098
2023-09-01,0.6666666666666666,0.8410596026490067,0.8434650455927053
2023-10-01,1.0,0.7880794701986755,0.7983789260385006
2023-11-01,1.0,0.7350993377483444,0.7532928064842959
2023-12-01,0.6666666666666666,0.6821192052980132,0.7082066869300911
2024-01-01,0.6666666666666666,0.6291390728476822,0.6631205673758864
2024-02-01,1.0,0.576158940397351,0.6180344478216819
2024-03-01,0.6666666666666666,0.5231788079470199,0.5729483282674772
2024-04-01,1.0,0.4701986754966887,0.5278622087132725
2024-05-01,0.6666666666666666,0.4172185430463575,0.4827760891590678
2024-06-01,0.6666666666666666,0.3642384105960266,0.4376899696048633
2024-07-01,0.6666666666666666,0.33388520971302427,0.4012158054711247
2024-08-01,0.3333333333333333,0.3035320088300222,0.36474164133738607
2024-09-01,0.6666666666666666,0.2731788079470199,0.32826747720364746
2024-10-01,0.6666666666666666,0.24282560706401757,0.29179331306990886
2024-11-01,0.6666666666666666,0.21247240618101548,0.25531914893617025
2024-12-01,0.6666666666666666,0.1821192052980133,0.21884498480243164
2025-01-01,0.6666666666666666,0.1517660044150112,0.18237082066869303
2025-02-01,0.6666666666666666,0.1214128035320089,0.14589665653495443
2025-03-01,0.6666666666666666,0.09105960264900659,0.10942249240121582
2025-04-01,0.6666666666666666,0.0607064017660045,0.07294832826747721
2025-05-01,0.6666666666666666,0.030353200883002307,0.03647416413373861
2025-06-01,0.3333333333333333,0.0,0.0
2025-07-01,0.3333333333333333,0.0,0.0
2025-08-01,0.3333333333333333,0.0,0.0
2025-09-01,0.6666666666666666,0.0,0.0
2025-10-01,0.3333333333333333,0.0,0.0
2025-11-01,0.3333333333333333,0.0,0.0
2025-12-01,0.3333333333333333,0.0,0.0
2026-01-01,0.3333333333333333,0.0,0.0
2026-02-01,0.3333333333333333,0.0,0.0
2026-03-01,0.3333333333333333,0.0,0.0
