Time,Google Trends,Uso %,Deseo %
2021-04-01,19,,
2021-05-01,23,,
2021-06-01,19,42.857142857142854,22.24591329068941
2021-07-01,15,42.857142857142854,22.24591329068941
2021-08-01,18,42.857142857142854,22.24591329068941
2021-09-01,21,42.857142857142854,22.24591329068941
2021-10-01,32,42.857142857142854,22.24591329068941
2021-11-01,29,42.857142857142854,22.24591329068941
2021-12-01,23,42.857142857142854,22.24591329068941
2022-01-01,22,42.857142857142854,22.24591329068941
2022-02-01,27,42.857142857142854,22.24591329068941
2022-03-01,23,42.857142857142854,22.24591329068941
2022-04-01,24,42.857142857142854,22.24591329068941
2022-05-01,31,42.857142857142854,22.24591329068941
2022-06-01,27,38.48396501457726,20.6268221574344
2022-07-01,34,38.48396501457726,20.6268221574344
2022-08-01,41,38.48396501457726,20.6268221574344
2022-09-01,46,38.48396501457726,20.6268221574344
2022-10-01,49,38.48396501457726,20.6268221574344
2022-11-01,47,38.48396501457726,20.6268221574344
2022-12-01,36,38.48396501457726,20.6268221574344
2023-01-01,38,38.48396501457726,20.6268221574344
2023-02-01,38,38.48396501457726,20.6268221574344
2023-03-01,35,38.48396501457726,20.6268221574344
2023-04-01,34,38.48396501457726,20.6268221574344
2023-05-01,37,38.48396501457726,20.6268221574344
2023-06-01,32,35.64625850340136,18.639455782312925
2023-07-01,28,35.64625850340136,18.639455782312925
2023-08-01,30,35.64625850340136,18.639455782312925
2023-09-01,36,35.64625850340136,18.639455782312925
2023-10-01,46,35.64625850340136,18.639455782312925
2023-11-01,45,35.64625850340136,18.639455782312925
2023-12-01,36,35.64625850340136,18.639455782312925
2024-01-01,49,35.64625850340136,18.639455782312925
2024-02-01,58,35.64625850340136,18.639455782312925
2024-03-01,56,35.64625850340136,18.639455782312925
2024-04-01,63,35.64625850340136,18.639455782312925
2024-05-01,65,35.64625850340136,18.639455782312925
2024-06-01,75,36.984815618221255,22.559652928416483
2024-07-01,74,36.984815618221255,22.559652928416483
2024-08-01,64,36.984815618221255,22.559652928416483
2024-09-01,58,36.984815618221255,22.559652928416483
2024-10-01,60,36.984815618221255,22.559652928416483
2024-11-01,55,36.984815618221255,22.559652928416483
2024-12-01,52,36.984815618221255,22.559652928416483
2025-01-01,55,36.984815618221255,22.559652928416483
2025-02-01,64,36.984815618221255,22.559652928416483
2025-03-01,68,36.984815618221255,22.559652928416483
2025-04-01,79,36.984815618221255,22.559652928416483
2025-05-01,72,36.984815618221255,22.559652928416483
2025-06-01,73,28.793103448275865,15.862068965517242
2025-07-01,58,28.793103448275865,15.862068965517242
2025-08-01,51,28.793103448275865,15.862068965517242
2025-09-01,48,28.793103448275865,15.862068965517242
2025-10-01,71,28.793103448275865,15.862068965517242
2025-11-01,81,28.793103448275865,15.862068965517242
2025-12-01,85,28.793103448275865,15.862068965517242
2026-01-01,100,28.793103448275865,15.862068965517242
2026-02-01,79,28.793103448275865,15.862068965517242
2026-03-01,57,28.793103448275865,15.862068965517242
