Time,Google_Trends,Uso %,Deseo %
2021-04-01,28,,
2021-05-01,25,,
2021-06-01,27,44.705046197583506,42.643923240938165
2021-07-01,25,44.705046197583506,42.643923240938165
2021-08-01,24,44.705046197583506,42.643923240938165
2021-09-01,22,44.705046197583506,42.643923240938165
2021-10-01,33,44.705046197583506,42.643923240938165
2021-11-01,31,44.705046197583506,42.643923240938165
2021-12-01,27,44.705046197583506,42.643923240938165
2022-01-01,27,44.705046197583506,42.643923240938165
2022-02-01,27,44.705046197583506,42.643923240938165
2022-03-01,30,44.705046197583506,42.643923240938165
2022-04-01,30,44.705046197583506,42.643923240938165
2022-05-01,34,44.705046197583506,42.643923240938165
2022-06-01,35,44.75218658892128,40.524781341107875
2022-07-01,33,44.75218658892128,40.524781341107875
2022-08-01,29,44.75218658892128,40.524781341107875
2022-09-01,38,44.75218658892128,40.524781341107875
2022-10-01,47,44.75218658892128,40.524781341107875
2022-11-01,52,44.75218658892128,40.524781341107875
2022-12-01,43,44.75218658892128,40.524781341107875
2023-01-01,51,44.75218658892128,40.524781341107875
2023-02-01,58,44.75218658892128,40.524781341107875
2023-03-01,48,44.75218658892128,40.524781341107875
2023-04-01,46,44.75218658892128,40.524781341107875
2023-05-01,45,44.75218658892128,40.524781341107875
2023-06-01,37,42.6530612244898,36.53061224489796
2023-07-01,34,42.6530612244898,36.53061224489796
2023-08-01,33,42.6530612244898,36.53061224489796
2023-09-01,43,42.6530612244898,36.53061224489796
2023-10-01,49,42.6530612244898,36.53061224489796
2023-11-01,50,42.6530612244898,36.53061224489796
2023-12-01,42,42.6530612244898,36.53061224489796
2024-01-01,46,42.6530612244898,36.53061224489796
2024-02-01,46,42.6530612244898,36.53061224489796
2024-03-01,48,42.6530612244898,36.53061224489796
2024-04-01,60,42.6530612244898,36.53061224489796
2024-05-01,45,42.6530612244898,36.53061224489796
2024-06-01,40,45.770065075921906,43.275488069414315
2024-07-01,33,45.770065075921906,43.275488069414315
2024-08-01,32,45.770065075921906,43.275488069414315
2024-09-01,44,45.770065075921906,43.275488069414315
2024-10-01,48,45.770065075921906,43.275488069414315
2024-11-01,41,45.770065075921906,43.275488069414315
2024-12-01,35,45.770065075921906,43.275488069414315
2025-01-01,39,45.770065075921906,43.275488069414315
2025-02-01,43,45.770065075921906,43.275488069414315
2025-03-01,36,45.770065075921906,43.275488069414315
2025-04-01,32,45.770065075921906,43.275488069414315
2025-05-01,30,45.770065075921906,43.275488069414315
2025-06-01,29,53.275862068965516,34.310344827586206
2025-07-01,25,53.275862068965516,34.310344827586206
2025-08-01,21,53.275862068965516,34.310344827586206
2025-09-01,26,53.275862068965516,34.310344827586206
2025-10-01,32,53.275862068965516,34.310344827586206
2025-11-01,31,53.275862068965516,34.310344827586206
2025-12-01,30,53.275862068965516,34.310344827586206
2026-01-01,31,53.275862068965516,34.310344827586206
2026-02-01,34,53.275862068965516,34.310344827586206
2026-03-01,25,53.275862068965516,34.310344827586206
