Year,Trends,Uso,Deseo
2021-04-01,0.26086956521739135,,
2021-05-01,0.26086956521739135,,
2021-06-01,0.30434782608695654,1.0,0.958702064896755
2021-07-01,0.17391304347826084,0.9948148148148146,0.9621435594886922
2021-08-01,0.08695652173913046,0.9896296296296296,0.9655850540806292
2021-09-01,0.30434782608695654,0.9844444444444445,0.9690265486725664
2021-10-01,0.4782608695652174,0.979259259259259,0.9724680432645034
2021-11-01,0.5652173913043478,0.9740740740740741,0.9759095378564404
2021-12-01,0.30434782608695654,0.9688888888888889,0.9793510324483776
2022-01-01,0.26086956521739135,0.9637037037037035,0.9827925270403146
2022-02-01,0.4782608695652174,0.9585185185185185,0.9862340216322516
2022-03-01,0.34782608695652173,0.9533333333333334,0.9896755162241888
2022-04-01,0.34782608695652173,0.948148148148148,0.9931170108161258
2022-05-01,0.4782608695652174,0.942962962962963,0.9965585054080628
2022-06-01,0.39130434782608703,0.9377777777777778,1.0
2022-07-01,0.17391304347826084,0.9279629629629631,0.9884464110127826
2022-08-01,0.21739130434782608,0.9181481481481479,0.9768928220255655
2022-09-01,0.39130434782608703,0.9083333333333332,0.9653392330383481
2022-10-01,0.7391304347826088,0.8985185185185185,0.9537856440511308
2022-11-01,0.9130434782608695,0.8887037037037036,0.9422320550639136
2022-12-01,0.5652173913043478,0.8788888888888888,0.9306784660766962
2023-01-01,0.6086956521739131,0.8690740740740741,0.9191248770894789
2023-02-01,0.782608695652174,0.8592592592592592,0.9075712881022615
2023-03-01,0.8695652173913043,0.8494444444444444,0.8960176991150441
2023-04-01,0.6086956521739131,0.8396296296296297,0.8844641101278268
2023-05-01,0.6521739130434783,0.8298148148148148,0.8729105211406096
2023-06-01,0.5652173913043478,0.8200000000000001,0.8613569321533923
2023-07-01,0.34782608695652173,0.7740740740740741,0.8217797443461159
2023-08-01,0.30434782608695654,0.728148148148148,0.7822025565388397
2023-09-01,0.6086956521739131,0.6822222222222223,0.7426253687315634
2023-10-01,0.8260869565217391,0.6362962962962964,0.703048180924287
2023-11-01,1.0,0.5903703703703702,0.6634709931170109
2023-12-01,0.6521739130434783,0.5444444444444445,0.6238938053097345
2024-01-01,0.6956521739130435,0.49851851851851836,0.5843166175024583
2024-02-01,0.7391304347826088,0.45259259259259244,0.544739429695182
2024-03-01,0.6956521739130435,0.40666666666666673,0.5051622418879056
2024-04-01,0.6956521739130435,0.3607407407407406,0.46558505408062945
2024-05-01,0.6521739130434783,0.31481481481481466,0.4260078662733531
2024-06-01,0.39130434782608703,0.26888888888888884,0.3864306784660767
2024-07-01,0.26086956521739135,0.24648148148148152,0.35422812192723685
2024-08-01,0.21739130434782608,0.22407407407407398,0.32202556538839733
2024-09-01,0.4347826086956522,0.20166666666666666,0.2898230088495575
2024-10-01,0.6521739130434783,0.17925925925925923,0.25762045231071784
2024-11-01,0.4782608695652174,0.1568518518518518,0.2254178957718781
2024-12-01,0.34782608695652173,0.13444444444444437,0.19321533923303835
2025-01-01,0.39130434782608703,0.11203703703703694,0.1610127826941986
2025-02-01,0.39130434782608703,0.0896296296296295,0.12881022615535898
2025-03-01,0.30434782608695654,0.06722222222222218,0.09660766961651912
2025-04-01,0.26086956521739135,0.04481481481481464,0.06440511307767949
2025-05-01,0.21739130434782608,0.02240740740740732,0.032202556538839744
2025-06-01,0.21739130434782608,0.0,0.0
2025-07-01,0.043478260869565216,0.0,0.0
2025-08-01,0.0,0.0,0.0
2025-09-01,0.13043478260869565,0.0,0.0
2025-10-01,0.26086956521739135,0.0,0.0
2025-11-01,0.26086956521739135,0.0,0.0
2025-12-01,0.13043478260869565,0.0,0.0
2026-01-01,0.13043478260869565,0.0,0.0
2026-02-01,0.13043478260869565,0.0,0.0
2026-03-01,0.13043478260869565,0.0,0.0
