Time,Google_Trends,% Uso SO,% Deseo SO
2021-04-01,16,,
2021-05-01,16,,
2021-06-01,15,64.96090973702914,43.923240938166316
2021-07-01,14,64.96090973702914,43.923240938166316
2021-08-01,11,64.96090973702914,43.923240938166316
2021-09-01,15,64.96090973702914,43.923240938166316
2021-10-01,18,64.96090973702914,43.923240938166316
2021-11-01,18,64.96090973702914,43.923240938166316
2021-12-01,14,64.96090973702914,43.923240938166316
2022-01-01,15,64.96090973702914,43.923240938166316
2022-02-01,22,64.96090973702914,43.923240938166316
2022-03-01,18,64.96090973702914,43.923240938166316
2022-04-01,20,64.96090973702914,43.923240938166316
2022-05-01,24,64.96090973702914,43.923240938166316
2022-06-01,23,64.94169096209913,45.18950437317784
2022-07-01,19,64.94169096209913,45.18950437317784
2022-08-01,19,64.94169096209913,45.18950437317784
2022-09-01,23,64.94169096209913,45.18950437317784
2022-10-01,27,64.94169096209913,45.18950437317784
2022-11-01,30,64.94169096209913,45.18950437317784
2022-12-01,24,64.94169096209913,45.18950437317784
2023-01-01,29,64.94169096209913,45.18950437317784
2023-02-01,34,64.94169096209913,45.18950437317784
2023-03-01,33,64.94169096209913,45.18950437317784
2023-04-01,30,64.94169096209913,45.18950437317784
2023-05-01,29,64.94169096209913,45.18950437317784
2023-06-01,28,62.176870748299315,37.07482993197279
2023-07-01,24,62.176870748299315,37.07482993197279
2023-08-01,23,62.176870748299315,37.07482993197279
2023-09-01,28,62.176870748299315,37.07482993197279
2023-10-01,31,62.176870748299315,37.07482993197279
2023-11-01,31,62.176870748299315,37.07482993197279
2023-12-01,26,62.176870748299315,37.07482993197279
2024-01-01,31,62.176870748299315,37.07482993197279
2024-02-01,33,62.176870748299315,37.07482993197279
2024-03-01,31,62.176870748299315,37.07482993197279
2024-04-01,35,62.176870748299315,37.07482993197279
2024-05-01,28,62.176870748299315,37.07482993197279
2024-06-01,23,61.49674620390455,39.479392624728845
2024-07-01,19,61.49674620390455,39.479392624728845
2024-08-01,19,61.49674620390455,39.479392624728845
2024-09-01,22,61.49674620390455,39.479392624728845
2024-10-01,24,61.49674620390455,39.479392624728845
2024-11-01,21,61.49674620390455,39.479392624728845
2024-12-01,19,61.49674620390455,39.479392624728845
2025-01-01,21,61.49674620390455,39.479392624728845
2025-02-01,27,61.49674620390455,39.479392624728845
2025-03-01,21,61.49674620390455,39.479392624728845
2025-04-01,16,61.49674620390455,39.479392624728845
2025-05-01,16,61.49674620390455,39.479392624728845
2025-06-01,13,61.206896551724135,29.82758620689655
2025-07-01,12,61.206896551724135,29.82758620689655
2025-08-01,11,61.206896551724135,29.82758620689655
2025-09-01,12,61.206896551724135,29.82758620689655
2025-10-01,13,61.206896551724135,29.82758620689655
2025-11-01,14,61.206896551724135,29.82758620689655
2025-12-01,12,61.206896551724135,29.82758620689655
2026-01-01,13,61.206896551724135,29.82758620689655
2026-02-01,13,61.206896551724135,29.82758620689655
2026-03-01,12,61.206896551724135,29.82758620689655
