Year,Trends,Uso_pct,Deseo_pct
2021-04-01,11,,
2021-05-01,11,,
2021-06-01,12,54.8,34.68
2021-07-01,9,54.74583333333333,34.839166666666664
2021-08-01,7,54.69166666666666,34.998333333333335
2021-09-01,12,54.637499999999996,35.1575
2021-10-01,16,54.58333333333333,35.31666666666667
2021-11-01,18,54.52916666666666,35.475833333333334
2021-12-01,12,54.474999999999994,35.635000000000005
2022-01-01,11,54.420833333333334,35.79416666666667
2022-02-01,16,54.36666666666667,35.95333333333333
2022-03-01,13,54.3125,36.112500000000004
2022-04-01,13,54.25833333333333,36.27166666666667
2022-05-01,16,54.204166666666666,36.43083333333334
2022-06-01,14,54.15,36.59
2022-07-01,9,53.549166666666665,36.120000000000005
2022-08-01,10,52.94833333333333,35.650000000000006
2022-09-01,14,52.3475,35.18
2022-10-01,22,51.74666666666666,34.71
2022-11-01,26,51.14583333333333,34.24
2022-12-01,18,50.545,33.77
2023-01-01,19,49.94416666666666,33.3
2023-02-01,23,49.343333333333334,32.83
2023-03-01,25,48.7425,32.36
2023-04-01,19,48.141666666666666,31.89
2023-05-01,20,47.54083333333333,31.419999999999998
2023-06-01,18,46.94,30.95
2023-07-01,13,47.02333333333333,31.028333333333332
2023-08-01,12,47.10666666666666,31.106666666666666
2023-09-01,19,47.19,31.185
2023-10-01,24,47.27333333333333,31.263333333333332
2023-11-01,28,47.35666666666666,31.341666666666665
2023-12-01,20,47.44,31.42
2024-01-01,21,47.52333333333333,31.498333333333335
2024-02-01,22,47.60666666666666,31.576666666666668
2024-03-01,21,47.69,31.655
2024-04-01,21,47.77333333333333,31.733333333333334
2024-05-01,20,47.85666666666666,31.811666666666667
2024-06-01,14,47.94,31.89
2024-07-01,11,48.556666666666665,31.574166666666667
2024-08-01,10,49.17333333333333,31.258333333333333
2024-09-01,15,49.79,30.942500000000003
2024-10-01,20,50.406666666666666,30.62666666666667
2024-11-01,16,51.02333333333333,30.310833333333335
2024-12-01,13,51.64,29.995
2025-01-01,14,52.25666666666667,29.679166666666667
2025-02-01,14,52.873333333333335,29.363333333333333
2025-03-01,12,53.49,29.0475
2025-04-01,11,54.10666666666667,28.73166666666667
2025-05-01,10,54.723333333333336,28.415833333333335
2025-06-01,10,55.34,28.1
2025-07-01,6,55.34,28.1
2025-08-01,5,55.34,28.1
2025-09-01,8,55.34,28.1
2025-10-01,11,55.34,28.1
2025-11-01,11,55.34,28.1
2025-12-01,8,55.34,28.1
2026-01-01,8,55.34,28.1
2026-02-01,8,55.34,28.1
2026-03-01,8,55.34,28.1
