Time,Google Trends,Uso %,Deseo %
2021-04-01,8,,
2021-05-01,8,,
2021-06-01,6,26.297085998578535,12.295664534470504
2021-07-01,5,26.297085998578535,12.295664534470504
2021-08-01,6,26.297085998578535,12.295664534470504
2021-09-01,7,26.297085998578535,12.295664534470504
2021-10-01,7,26.297085998578535,12.295664534470504
2021-11-01,10,26.297085998578535,12.295664534470504
2021-12-01,7,26.297085998578535,12.295664534470504
2022-01-01,7,26.297085998578535,12.295664534470504
2022-02-01,8,26.297085998578535,12.295664534470504
2022-03-01,9,26.297085998578535,12.295664534470504
2022-04-01,10,26.297085998578535,12.295664534470504
2022-05-01,9,26.297085998578535,12.295664534470504
2022-06-01,7,25.728862973760936,11.880466472303207
2022-07-01,5,25.728862973760936,11.880466472303207
2022-08-01,5,25.728862973760936,11.880466472303207
2022-09-01,7,25.728862973760936,11.880466472303207
2022-10-01,10,25.728862973760936,11.880466472303207
2022-11-01,11,25.728862973760936,11.880466472303207
2022-12-01,9,25.728862973760936,11.880466472303207
2023-01-01,10,25.728862973760936,11.880466472303207
2023-02-01,10,25.728862973760936,11.880466472303207
2023-03-01,9,25.728862973760936,11.880466472303207
2023-04-01,9,25.728862973760936,11.880466472303207
2023-05-01,9,25.728862973760936,11.880466472303207
2023-06-01,7,23.809523809523807,11.020408163265307
2023-07-01,6,23.809523809523807,11.020408163265307
2023-08-01,5,23.809523809523807,11.020408163265307
2023-09-01,7,23.809523809523807,11.020408163265307
2023-10-01,10,23.809523809523807,11.020408163265307
2023-11-01,10,23.809523809523807,11.020408163265307
2023-12-01,8,23.809523809523807,11.020408163265307
2024-01-01,9,23.809523809523807,11.020408163265307
2024-02-01,10,23.809523809523807,11.020408163265307
2024-03-01,9,23.809523809523807,11.020408163265307
2024-04-01,10,23.809523809523807,11.020408163265307
2024-05-01,9,23.809523809523807,11.020408163265307
2024-06-01,6,21.36659436008677,9.869848156182211
2024-07-01,5,21.36659436008677,9.869848156182211
2024-08-01,4,21.36659436008677,9.869848156182211
2024-09-01,6,21.36659436008677,9.869848156182211
2024-10-01,9,21.36659436008677,9.869848156182211
2024-11-01,7,21.36659436008677,9.869848156182211
2024-12-01,5,21.36659436008677,9.869848156182211
2025-01-01,7,21.36659436008677,9.869848156182211
2025-02-01,7,21.36659436008677,9.869848156182211
2025-03-01,6,21.36659436008677,9.869848156182211
2025-04-01,4,21.36659436008677,9.869848156182211
2025-05-01,4,21.36659436008677,9.869848156182211
2025-06-01,3,21.379310344827587,8.793103448275861
2025-07-01,3,21.379310344827587,8.793103448275861
2025-08-01,3,21.379310344827587,8.793103448275861
2025-09-01,3,21.379310344827587,8.793103448275861
2025-10-01,4,21.379310344827587,8.793103448275861
2025-11-01,4,21.379310344827587,8.793103448275861
2025-12-01,3,21.379310344827587,8.793103448275861
2026-01-01,4,21.379310344827587,8.793103448275861
2026-02-01,3,21.379310344827587,8.793103448275861
2026-03-01,3,21.379310344827587,8.793103448275861
