Time,Google Trends,Uso %,Deseo %
2021-04-01,0,,
2021-05-01,0,,
2021-06-01,0,31.272210376687987,31.414356787491116
2021-07-01,0,31.272210376687987,31.414356787491116
2021-08-01,0,31.272210376687987,31.414356787491116
2021-09-01,0,31.272210376687987,31.414356787491116
2021-10-01,0,31.272210376687987,31.414356787491116
2021-11-01,0,31.272210376687987,31.414356787491116
2021-12-01,0,31.272210376687987,31.414356787491116
2022-01-01,0,31.272210376687987,31.414356787491116
2022-02-01,0,31.272210376687987,31.414356787491116
2022-03-01,0,31.272210376687987,31.414356787491116
2022-04-01,0,31.272210376687987,31.414356787491116
2022-05-01,2,31.272210376687987,31.414356787491116
2022-06-01,2,35.932944606414,36.51603498542274
2022-07-01,1,35.932944606414,36.51603498542274
2022-08-01,2,35.932944606414,36.51603498542274
2022-09-01,2,35.932944606414,36.51603498542274
2022-10-01,2,35.932944606414,36.51603498542274
2022-11-01,3,35.932944606414,36.51603498542274
2022-12-01,2,35.932944606414,36.51603498542274
2023-01-01,2,35.932944606414,36.51603498542274
2023-02-01,3,35.932944606414,36.51603498542274
2023-03-01,2,35.932944606414,36.51603498542274
2023-04-01,3,35.932944606414,36.51603498542274
2023-05-01,2,35.932944606414,36.51603498542274
2023-06-01,3,37.07482993197279,33.605442176870746
2023-07-01,2,37.07482993197279,33.605442176870746
2023-08-01,2,37.07482993197279,33.605442176870746
2023-09-01,2,37.07482993197279,33.605442176870746
2023-10-01,3,37.07482993197279,33.605442176870746
2023-11-01,3,37.07482993197279,33.605442176870746
2023-12-01,2,37.07482993197279,33.605442176870746
2024-01-01,2,37.07482993197279,33.605442176870746
2024-02-01,3,37.07482993197279,33.605442176870746
2024-03-01,2,37.07482993197279,33.605442176870746
2024-04-01,3,37.07482993197279,33.605442176870746
2024-05-01,2,37.07482993197279,33.605442176870746
2024-06-01,2,38.286334056399134,34.273318872017356
2024-07-01,2,38.286334056399134,34.273318872017356
2024-08-01,1,38.286334056399134,34.273318872017356
2024-09-01,2,38.286334056399134,34.273318872017356
2024-10-01,2,38.286334056399134,34.273318872017356
2024-11-01,2,38.286334056399134,34.273318872017356
2024-12-01,2,38.286334056399134,34.273318872017356
2025-01-01,2,38.286334056399134,34.273318872017356
2025-02-01,2,38.286334056399134,34.273318872017356
2025-03-01,2,38.286334056399134,34.273318872017356
2025-04-01,2,38.286334056399134,34.273318872017356
2025-05-01,2,38.286334056399134,34.273318872017356
2025-06-01,1,41.89655172413793,29.655172413793103
2025-07-01,1,41.89655172413793,29.655172413793103
2025-08-01,1,41.89655172413793,29.655172413793103
2025-09-01,2,41.89655172413793,29.655172413793103
2025-10-01,1,41.89655172413793,29.655172413793103
2025-11-01,1,41.89655172413793,29.655172413793103
2025-12-01,1,41.89655172413793,29.655172413793103
2026-01-01,1,41.89655172413793,29.655172413793103
2026-02-01,1,41.89655172413793,29.655172413793103
2026-03-01,1,41.89655172413793,29.655172413793103
