Time,Google_Trends,Uso %,Deseo %
2021-04-01,11,,
2021-05-01,11,,
2021-06-01,12,54.79744136460555,34.68372423596304
2021-07-01,9,54.79744136460555,34.68372423596304
2021-08-01,7,54.79744136460555,34.68372423596304
2021-09-01,12,54.79744136460555,34.68372423596304
2021-10-01,16,54.79744136460555,34.68372423596304
2021-11-01,18,54.79744136460555,34.68372423596304
2021-12-01,12,54.79744136460555,34.68372423596304
2022-01-01,11,54.79744136460555,34.68372423596304
2022-02-01,16,54.79744136460555,34.68372423596304
2022-03-01,13,54.79744136460555,34.68372423596304
2022-04-01,13,54.79744136460555,34.68372423596304
2022-05-01,16,54.79744136460555,34.68372423596304
2022-06-01,14,54.154518950437314,36.588921282798836
2022-07-01,9,54.154518950437314,36.588921282798836
2022-08-01,10,54.154518950437314,36.588921282798836
2022-09-01,14,54.154518950437314,36.588921282798836
2022-10-01,22,54.154518950437314,36.588921282798836
2022-11-01,26,54.154518950437314,36.588921282798836
2022-12-01,18,54.154518950437314,36.588921282798836
2023-01-01,19,54.154518950437314,36.588921282798836
2023-02-01,23,54.154518950437314,36.588921282798836
2023-03-01,25,54.154518950437314,36.588921282798836
2023-04-01,19,54.154518950437314,36.588921282798836
2023-05-01,20,54.154518950437314,36.588921282798836
2023-06-01,18,46.93877551020408,30.952380952380953
2023-07-01,13,46.93877551020408,30.952380952380953
2023-08-01,12,46.93877551020408,30.952380952380953
2023-09-01,19,46.93877551020408,30.952380952380953
2023-10-01,24,46.93877551020408,30.952380952380953
2023-11-01,28,46.93877551020408,30.952380952380953
2023-12-01,20,46.93877551020408,30.952380952380953
2024-01-01,21,46.93877551020408,30.952380952380953
2024-02-01,22,46.93877551020408,30.952380952380953
2024-03-01,21,46.93877551020408,30.952380952380953
2024-04-01,21,46.93877551020408,30.952380952380953
2024-05-01,20,46.93877551020408,30.952380952380953
2024-06-01,14,47.939262472885034,31.887201735357916
2024-07-01,11,47.939262472885034,31.887201735357916
2024-08-01,10,47.939262472885034,31.887201735357916
2024-09-01,15,47.939262472885034,31.887201735357916
2024-10-01,20,47.939262472885034,31.887201735357916
2024-11-01,16,47.939262472885034,31.887201735357916
2024-12-01,13,47.939262472885034,31.887201735357916
2025-01-01,14,47.939262472885034,31.887201735357916
2025-02-01,14,47.939262472885034,31.887201735357916
2025-03-01,12,47.939262472885034,31.887201735357916
2025-04-01,11,47.939262472885034,31.887201735357916
2025-05-01,10,47.939262472885034,31.887201735357916
2025-06-01,10,55.344827586206904,28.10344827586207
2025-07-01,6,55.344827586206904,28.10344827586207
2025-08-01,5,55.344827586206904,28.10344827586207
2025-09-01,8,55.344827586206904,28.10344827586207
2025-10-01,11,55.344827586206904,28.10344827586207
2025-11-01,11,55.344827586206904,28.10344827586207
2025-12-01,8,55.344827586206904,28.10344827586207
2026-01-01,8,55.344827586206904,28.10344827586207
2026-02-01,8,55.344827586206904,28.10344827586207
2026-03-01,8,55.344827586206904,28.10344827586207
